"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
487073553;"23/01/2011";1;;;320;2;;1;1.81;17332;"23/01/2011";1;SP;WASHINGTON LUIS;GONZAGA;SANTOS;"11055000"
487073556;"23/01/2011";1;;;89;2;;4;31.48;150384;"23/01/2011";0;RJ;R VISCONDE DE PIRAJA;IPANEMA;RIO DE JANEIRO;"22410003"
487073558;"23/01/2011";1;;;353;2;;1;24.93;3922;"23/01/2011";0;SP;AVENIDA SALDANHA MARINHO;S JUDAS;PIRACICABA;"13416257"
487073559;"23/01/2011";1;;;288;2;;5;22.34;16350;"23/01/2011";0;SP;DOM PEDRO I;IPIRANGA;RIBEIRAO PRETO;"14055630"
487073560;"23/01/2011";1;;;296;2;;4;99.4;34064;"23/01/2011";0;SP;RUA GERALDO PEREIRA DE BARROS;CENTRO;LENÇÓIS PAULISTA;"18680020"
487073562;"23/01/2011";1;;;347;2;;5;2.48;2427;"23/01/2011";1;SP;AVENIDA LAVANDISCA;INDIANÓPOLIS;SÃO PAULO;"04515010"
487073563;"23/01/2011";1;;;289;2;;5;70.27;27246;"23/01/2011";1;SP;COMENDADOR JOSE DA SILVA MARTHA;JD ESTORIL;BAURU;"17016080"
487073565;"23/01/2011";1;;;299;2;;5;6.97;32978;"23/01/2011";0;SP;PORTUGAL;JD S LUIZ;RIBEIRÃO PRETO;"14020380"
487073568;"23/01/2011";1;;;124;2;;6;41.21;154216;"23/01/2011";1;SP;RUA APUCARANA;TATUAPÉ;SÃO PAULO;"03311000"
487073569;"23/01/2011";1;;;150;2;;4;44.53;173528;"23/01/2011";1;PR;PADRE AGOSTINHO;BIGORRILHO;CURITIBA;"80710000"
487073570;"23/01/2011";1;;;145;2;;5;49.15;325366;"23/01/2011";1;SP;RUA PRUDENTE DE MORAES;CENTRO;SANTA BARBARA DO OESTE;"13450048"
487073572;"23/01/2011";1;;;335;2;;1;9.12;8020;"23/01/2011";0;PR;GOIÁS;ZONA 01;CIANORTE;"87200000"
487073574;"23/01/2011";1;;;171;2;;4;7.29;142928;"23/01/2011";0;MG;CONCEICAO DO MATO DENTRO;O PRETO;BELO HORIZONTE;"31310240"
487073579;"23/01/2011";1;;;260;2;;1;4.82;71354;"23/01/2011";1;SP;AV. BRASIL;JARDIM BRASIL;VINHEDO;"13280000"
487073592;"23/01/2011";1;;;310;2;;1;7.19;22697;"23/01/2011";0;SP;ESTHER;CENTRO;COSMOPOLIS;"13150000"
487073594;"23/01/2011";1;;;260;2;;1;23.28;71355;"23/01/2011";1;SP;AV. BRASIL;JARDIM BRASIL;VINHEDO;"13280000"
487073601;"23/01/2011";1;;;145;2;;1;16.22;325368;"23/01/2011";1;SP;RUA PRUDENTE DE MORAES;CENTRO;SANTA BARBARA DO OESTE;"13450048"
487073602;"23/01/2011";1;;;143;2;;1;49.28;160295;"23/01/2011";1;PR;RUA PETIT CARNEIRO;A VERDE;CURITIBA;"80240050"
487073604;"23/01/2011";1;;;279;2;;5;19.9;51113;"23/01/2011";0;RJ;RUA CORONEL VEIGA;CEL VEIGA;PETRÓPOLIS;"25655156"
487073605;"23/01/2011";1;;;48;2;;1;4.28;61926;"23/01/2011";0;SP;PRAÇA RUI BARBOSA;CENTRO;ARAÇATUBA;"16010000"
487073606;"23/01/2011";1;;;163;2;;1;11.3;204391;"23/01/2011";1;SP;PRESIDENTE WILSON;CENTRO;SÃO VICENTE;"11320000"
487073609;"23/01/2011";1;;;317;2;;4;45.23;31499;"23/01/2011";1;SP;RUA CONSELHEIRO LAFAYETTE;EMBARÉ;SANTOS;"11040280"
487073610;"23/01/2011";1;;;153;2;;1;12.57;204166;"23/01/2011";1;SP;AVENIDA LUIZ DUMONT VILLARES;JD S PAULO (Z NORTE);SÃO PAULO;"02085000"
487073614;"23/01/2011";1;;;144;2;;1;1.81;285575;"23/01/2011";0;SP;AVENIDA ROQUE PETRONI JÚNIOR;JD ACÁCIAS;SÃO PAULO;"04707000"
487073615;"23/01/2011";1;;;29;2;;6;3.7;56215;"23/01/2011";0;SP;RUA JOÃO CACHOEIRA;VL N CONCEIÇÃO;SÃO PAULO;"04535002"
487073618;"23/01/2011";1;;;286;2;;4;77.17;45030;"23/01/2011";0;SP;IACANGA;VL MOLON;AMERICANA;"13468590"
487073619;"23/01/2011";1;;;86;2;;4;66.83;65527;"23/01/2011";1;RJ;R VISCONDE DE PIRAJA;IPANEMA;RIO DE JANEIRO;"22410001"
487073620;"23/01/2011";1;;;290;2;;1;36.02;79900;"23/01/2011";1;SP;SANTA RITA;VL STA RITA;SÃO ROQUE;"18130675"
487073622;"23/01/2011";1;;;153;2;;5;22.16;204167;"23/01/2011";1;SP;AVENIDA LUIZ DUMONT VILLARES;JD S PAULO (Z NORTE);SÃO PAULO;"02085000"
487073623;"23/01/2011";1;;;124;2;;5;16.57;154215;"23/01/2011";1;SP;RUA APUCARANA;TATUAPÉ;SÃO PAULO;"03311000"
487073624;"23/01/2011";1;;;104;2;;6;34.91;250671;"23/01/2011";1;SP;RUA SCHILLING;VL LEOPOLDINA;SÃO PAULO;"05302001"
487073625;"23/01/2011";1;;;290;2;;1;8.92;79901;"23/01/2011";1;SP;SANTA RITA;VL STA RITA;SÃO ROQUE;"18130675"
487073627;"23/01/2011";1;;;125;2;;1;100;68430;"23/01/2011";0;MG;ANTONIO DE ALBUQUERQUE;SAVASSI;BELO HORIZONTE;"30112011"
487073630;"23/01/2011";1;;;317;2;;1;33.8;5968;"23/01/2011";1;SP;RUA CONSELHEIRO LAFAYETTE;EMBARÉ;SANTOS;"11040280"
487073631;"23/01/2011";1;;;142;2;;4;59.39;75999;"23/01/2011";1;PR;MARECHAL DEODORO;AT RUA XV;CURITIBA;"80045375"
